iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
AFG,Afghanistan,Asia,Southern Asia,location,National,Dietary needs,0.28,39.99,12.66,49.81,2.32,0.01,0.02,0.27,10.1,4.23,0.08,93.27,0,67.93,64.3
AFG,Afghanistan,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
AGO,Angola,Africa,Middle Africa,location,National,Dietary needs,0.29,110.16,58.86,11.67,0.35,0.05,0.08,1.05,16.11,3.36,0.07,84.98,0,108.27,26.53
AGO,Angola,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
ALB,Albania,Europe,Southern Europe,location,National,Dietary needs,1.12,146.58,24.45,202.19,3.9,0.06,0.03,7.37,26.44,4.61,0.09,87.8,0,393.68,20.8
ALB,Albania,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
AND,Andorra,Europe,Southern Europe,location,National,Dietary needs,0.9,158.8,18.36,224.04,5.96,0.11,0.05,9.63,53.03,4.21,0.09,99.26,0,223.57,31.48
AND,Andorra,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
ARE,United Arab Emirates,Asia,Western Asia,location,National,Dietary needs,0.61,153.59,113.99,70.96,7.13,0.09,0.06,1.33,21.92,4.26,0.07,113.11,0,171.36,29.64
ARE,United Arab Emirates,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ARG,Argentina,Latin America and the Caribbean,South America,location,National,Dietary needs,0.58,173.84,7.09,106.1,0.47,0.13,0.06,3.7,70.85,3.8,0.07,59.78,0,144.6,14.96
ARG,Argentina,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
ARM,Armenia,Asia,Western Asia,location,National,Dietary needs,0.78,93.62,1.43,85.88,1.5,0.06,0.04,1.46,20.63,4.74,0.09,104.78,0,460.08,21.35
ARM,Armenia,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
ATG,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.37,129.8,22.66,57.33,0.94,0.12,0.12,1.9,17.24,3.08,0.11,169.18,0,91.98,84.68
ATG,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
AUS,Australia,Oceania,Australia and New Zealand,location,National,Dietary needs,0.75,102.51,18.04,217.36,6.42,0.12,0.03,5.55,69.54,2.96,0.12,58.07,0.01,146.81,19.1
AUS,Australia,Oceania,Australia and New Zealand,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
AUT,Austria,Europe,Western Europe,location,National,Dietary needs,0.73,139.72,14.5,173.65,5.53,0.07,0.03,5.7,77.15,4.19,0.09,104.15,0,153.22,26.26
AUT,Austria,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
AZE,Azerbaijan,Asia,Western Asia,location,National,Dietary needs,0.59,105.34,1.07,87.64,4.48,0.04,0.02,2.65,19.26,4.78,0.07,87.2,0.01,337.72,19.72
AZE,Azerbaijan,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BDI,Burundi,Africa,Eastern Africa,location,National,Dietary needs,0.22,33.72,45.28,12.67,0.28,0,0.01,0.34,5.62,2.59,0.05,96.97,0,36.94,25.23
BDI,Burundi,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
BEL,Belgium,Europe,Western Europe,location,National,Dietary needs,0.84,105.49,10.98,146.3,3.41,0.08,0.07,7.14,49.82,3.53,0.1,106.46,0,208.68,32.68
BEL,Belgium,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
BEN,Benin,Africa,Western Africa,location,National,Dietary needs,0.26,60.37,94.07,9.7,4.19,0.02,0.01,0.75,4.77,2.7,0.05,75.78,0,79.37,24.67
BEN,Benin,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
BFA,Burkina Faso,Africa,Western Africa,location,National,Dietary needs,0.27,9.95,135.68,20.78,1.99,0.02,0.01,0.75,12.05,2.7,0.06,69.68,0,43.29,17.45
BFA,Burkina Faso,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
BGD,Bangladesh,Asia,Southern Asia,location,National,Dietary needs,0.18,34.45,33.23,19.18,0.91,0.01,0.04,0.75,2.45,5.24,0.04,79.33,0.01,48.36,23.1
BGD,Bangladesh,Asia,Southern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BGR,Bulgaria,Europe,Eastern Europe,location,National,Dietary needs,0.65,71.12,17.86,60.03,2.96,0.06,0.07,5.07,55.84,4.61,0.08,95.15,0,369.37,19.67
BGR,Bulgaria,Europe,Eastern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
BHR,Bahrain,Asia,Western Asia,location,National,Dietary needs,0.65,170.31,44.46,120.14,8.61,0.09,0.05,2,19.64,4.24,0.07,102.63,0,341.55,31.41
BHR,Bahrain,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
BHS,Bahamas,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.51,276.98,5.36,78.78,1.67,0.11,0.11,2.1,36.13,3.08,0.11,180.77,0,173.19,83.7
BHS,Bahamas,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
BIH,Bosnia and Herzegovina,Europe,Southern Europe,location,National,Dietary needs,0.74,100.01,33.18,113.09,1.8,0.04,0.03,3.73,15.17,4.63,0.06,86.44,0,321.86,20.95
