Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1993","1993","7021","Annual value","LCU","18000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1994","1994","7021","Annual value","LCU","16000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1995","1995","7021","Annual value","LCU","14000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1996","1996","7021","Annual value","LCU","2000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1997","1997","7021","Annual value","LCU","48000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1998","1998","7021","Annual value","LCU","50000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","1999","1999","7021","Annual value","LCU","72000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2000","2000","7021","Annual value","LCU","72000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2001","2001","7021","Annual value","LCU","40000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2002","2002","7021","Annual value","LCU","50000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2003","2003","7021","Annual value","LCU","48000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2004","2004","7021","Annual value","LCU","50100","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2005","2005","7021","Annual value","LCU","52200","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1993","1993","7021","Annual value","SLC","18000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1994","1994","7021","Annual value","SLC","16000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1995","1995","7021","Annual value","SLC","14000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1996","1996","7021","Annual value","SLC","2000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1997","1997","7021","Annual value","SLC","48000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1998","1998","7021","Annual value","SLC","50000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","1999","1999","7021","Annual value","SLC","72000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","2000","2000","7021","Annual value","SLC","72000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","1062","Eggs, hen, in shell","2001","2001","7021","Annual value","SLC","40000","","Official data"
